CNPJ_Fundo_Classe;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
53.123.631/0001-64;2025-09-01;1;32645.89;32645.89;0;0;0;11765817;11765817;0;11765817;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;32000;0;4600000;0;0;0;0;0;40000;4672000
53.127.942/0001-00;2025-01-01;2;3171033.71;7207.14;3163826.57;0;0;29895489.7;29895489.7;29895489.7;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3807.56;0;0;3807.56;0;35000;0;0;0;0;0;0;0;431589.03;466589.03
53.127.942/0001-00;2025-02-01;2;1075626.4;5719.08;1069907.32;0;0;32804502.53;31124106.52;31124106.52;0;0;0;0;0;0;0;0;0;;0;0;1680396.01;0;0;0;0;0;0;;0;0;;0;0;0;2516.86;0;0;2516.86;0;35000;0;0;0;0;0;0;0;1188912.9;1223912.9
53.127.942/0001-00;2025-03-01;1;1443840.36;12873.95;1430966.41;0;0;31565484.03;31565484.03;31565484.03;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1702585.54;0;0;1702585.54;0;35000;0;0;0;0;0;0;0;1144413.86;1179413.86
53.127.942/0001-00;2025-04-01;2;1417614.87;70588.14;1347026.73;0;0;33060567.68;32537297.48;32537297.48;0;0;0;0;0;523270.2;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;163529.24;0;0;163529.24;0;35000;0;0;0;0;0;0;0;1136380.39;1171380.39
53.127.942/0001-00;2025-05-01;1;1443840.36;12873.95;1430966.41;0;0;31565484.03;31565484.03;31565484.03;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1702585.54;0;0;1702585.54;0;35000;0;0;0;0;0;0;0;1144413.86;1179413.86
53.127.942/0001-00;2025-06-01;1;1443840.36;12873.95;1430966.41;0;0;31565484.03;31565484.03;31565484.03;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1702585.54;0;0;1702585.54;0;35000;0;0;0;0;0;0;0;1144413.86;1179413.86
53.127.942/0001-00;2025-07-01;1;2797.61;2797.61;0;0;0;37702307.32;35982207.32;35982207.32;0;0;0;0;0;1720100;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;11998.96;0;0;11998.96;0;35000;0;0;0;0;0;0;0;840695.03;875695.03
53.127.942/0001-00;2025-08-01;1;2797.61;2797.61;0;0;0;37702307.32;35982207.32;35982207.32;0;0;0;0;0;1720100;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;11998.96;0;0;11998.96;0;35000;0;0;0;0;0;0;0;840695.03;875695.03
53.127.942/0001-00;2025-09-01;1;1975101.82;516798.81;1458303.01;0;0;37762933.33;37762933.33;37762933.33;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;10686.46;0;0;10686.46;0;70000;0;0;0;0;0;0;0;1107760.27;1177760.27
53.137.434/0001-02;2025-01-01;2;415453.64;1001.91;414451.73;0;0;90511728.78;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;90511728.78;0;0;;0;0;;0;0;0;8820947.5;0;0;8820947.5;0;15000;0;0;0;0;0;0;0;84318.41;99318.41
53.137.434/0001-02;2025-02-01;1;416325.38;771.74;415553.64;0;0;88880500.35;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;88880500.35;0;0;;0;0;;0;0;0;8766048.74;0;0;8766048.74;0;15000;0;0;0;0;0;0;0;82722.92;97722.92
53.137.434/0001-02;2025-03-01;1;253821.26;1457.93;252363.33;0;0;87433172.46;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;87433172.46;0;0;;0;0;;0;0;0;5211771.4;0;0;5211771.4;0;15000;0;0;0;0;0;0;0;61961.57;76961.57
53.137.434/0001-02;2025-04-01;1;223961.55;1468.57;222492.98;0;0;86123209.18;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;86123209.18;0;0;;0;0;;0;0;0;5070862.24;0;0;5070862.24;0;15000;0;0;0;0;0;0;0;98552.45;113552.45
53.137.434/0001-02;2025-05-01;1;175771.25;894.75;174876.5;0;0;84811891.21;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;84811891.21;0;0;;0;0;;0;0;0;5083707.24;0;0;5083707.24;0;15000;0;0;0;0;0;0;0;100330.08;115330.08
53.137.434/0001-02;2025-06-01;1;222605.36;1085.55;221519.81;0;0;83201640.31;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;83201640.31;0;0;;0;0;;0;0;0;5070660;0;0;5070660;0;15000;0;0;0;0;0;0;0;135912.76;150912.76
53.137.434/0001-02;2025-07-01;1;223666.63;1304.21;222362.42;0;0;81521535.58;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;81521535.58;0;0;;0;0;;0;0;0;4996058.51;0;0;4996058.51;0;58002.37;0;0;0;0;0;0;0;59541.03;117543.4
53.137.434/0001-02;2025-08-01;1;223573.5;974.5;222599;0;0;79859048.4;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;79859048.4;0;0;;0;0;;0;0;0;4955031.33;0;0;4955031.33;0;53786.85;0;0;0;0;0;0;0;59541.03;113327.88
53.137.434/0001-02;2025-09-01;1;172155.4;1598.16;170557.24;0;0;77869536.21;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;77869536.21;0;0;;0;0;;0;0;0;4940053.53;0;0;4940053.53;0;54739.52;0;0;0;0;0;0;0;59541.03;114280.55
53.178.589/0001-89;2025-01-01;1;590734;1199.49;0;0;589534.51;23033298.2;0;0;0;0;0;0;0;0;0;0;0;;0;0;23033298.2;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;24000;0;0;0;0;0;0;0;3500;27500
53.178.589/0001-89;2025-02-01;1;562722.56;387.35;0;0;562335.21;14010406.05;0;0;0;0;0;0;0;0;0;0;0;;0;0;14010406.05;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;36000;0;0;0;0;0;0;0;5500;41500
53.178.589/0001-89;2025-03-01;1;489890.26;87.35;0;0;489802.91;14468265.58;0;0;0;0;0;0;0;0;0;0;0;;0;0;14468265.58;0;0;0;0;0;0;;0;0;;0;0;0;1500;0;0;1500;0;48000;0;0;0;0;0;0;0;6100;54100
53.178.589/0001-89;2025-04-01;1;451566.54;3815.81;0;0;447750.73;14671282.86;0;0;0;0;0;0;0;0;0;0;0;;0;0;14671282.86;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;48000;0;0;0;0;0;0;0;6100;54100
53.178.589/0001-89;2025-05-01;1;10534.96;10534.96;0;0;0;15316131.8;0;0;0;0;0;0;0;0;0;0;0;;0;0;14923551.48;0;392580.32;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;60784.54;0;0;0;0;0;0;0;5630.76;66415.3
53.178.589/0001-89;2025-06-01;1;368094.33;6856.36;0;0;361237.97;15113945.57;0;0;0;0;0;0;0;0;0;0;0;;0;0;15113945.57;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;60784.54;0;0;0;0;0;0;0;5630.76;66415.3
53.178.589/0001-89;2025-07-01;2;359067.79;8283.25;0;0;350784.54;15337737.67;0;0;0;0;0;0;0;0;0;0;0;;0;0;15337737.67;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;73569.08;0;0;0;0;0;0;0;7761.52;81330.6
53.178.589/0001-89;2025-08-01;1;263867.04;19686.95;0;0;244180.09;15552597.49;0;0;0;0;0;0;0;0;0;0;0;;0;0;15552597.49;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;3652.73;0;0;0;0;0;0;0;12762.56;16415.29
53.178.589/0001-89;2025-09-01;1;248296.66;248296.66;0;0;0;15958192.99;0;0;0;0;0;0;0;0;0;0;0;;0;0;15958192.99;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;12784.54;0;0;0;0;0;0;0;5130.78;17915.32
53.178.634/0001-03;2025-01-01;1;3722734.24;957.38;0;0;3721776.86;5892624.89;5892624.89;0;0;0;5892624.89;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;4381.47;0;0;4381.47;0;12000;0;0;0;0;0;0;0;25372.99;37372.99
53.178.634/0001-03;2025-02-01;1;3662400.71;1000;0;0;3661400.71;5945101.58;5945101.58;0;0;0;5945101.58;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;4095.47;0;0;4095.47;0;14250;0;0;0;0;0;0;0;26652.5;40902.5
